,price,area_tot,area_build,lon,lat
89534,790000.0,2836.0,0.0,6.026415,46.262012
89535,18000.0,92.0,0.0,6.026415,46.262012
89536,142799.0,621.0,0.0,6.026415,46.262012
89537,464085.0,468.0,110.0,6.026415,46.262012
89539,505800.0,49.0,0.0,6.003655,46.270497
89543,514310.0,575.0,0.0,6.025464,46.280898
89549,300.0,300.0,0.0,6.013404,46.282944
89553,230000.0,355.0,0.0,6.013404,46.282944
89557,15000.0,5850.0,0.0,6.002937,46.274673
89565,589800.0,1617.0,0.0,6.018756,46.284138
89538,68004.0,3778.0,0.0,6.026415,46.262012
89593,401610.0,1217.0,0.0,6.028042,46.281231
89606,245000.0,228.0,0.0,6.011736,46.274602
89615,251538.0,588.0,0.0,6.011736,46.274602
89624,160000.0,155.0,0.0,6.011736,46.274602
89633,230000.0,1350.0,42.0,6.010325,46.283460999999996
89643,560000.0,1595.0,171.0,6.003282,46.272217
89646,181000.0,0.0,50.0,6.008763,46.282594
89666,560000.0,0.0,131.0,6.010551,46.276557000000004
89564,942000.0,1272.0,169.0,6.002487,46.274683
89682,686900.0,800.0,250.0,6.005882,46.274366
89713,532000.0,810.0,140.0,6.004957,46.274121
89744,527000.0,900.0,130.0,6.004765,46.274826000000004
89754,573000.0,1265.0,126.0,6.026479,46.281214
89759,473230.0,1199.0,98.0,6.024511,46.284552000000005
89774,445000.0,0.0,120.0,6.013448,46.279183
89779,514310.0,900.0,138.0,6.025284,46.282028000000004
89788,10000.0,0.0,0.0,6.022018,46.284295
89800,360000.0,0.0,74.0,6.016957,46.285268
89814,485616.0,0.0,118.0,6.016957,46.285268
89581,589800.0,422.0,187.0,6.018726999999999,46.284276
89818,550000.0,809.0,122.0,6.021496,46.285134
89862,520120.0,0.0,99.0,6.0263279999999995,46.283139
89904,310000.0,0.0,86.0,6.0263279999999995,46.283139
89910,199000.0,0.0,52.0,6.019229,46.284084
89921,210000.0,0.0,53.0,6.019355,46.284285
89932,280000.0,0.0,74.0,6.019430000000001,46.284465000000004
89944,280000.0,0.0,0.0,6.021458,46.286941999999996
89954,210000.0,0.0,0.0,6.021458,46.286941999999996
89964,199000.0,0.0,0.0,6.021458,46.286941999999996
89965,1750000.0,9462.0,0.0,6.016568,46.282284999999995
90035,42000.0,0.0,36.0,6.010078,46.282665
90081,300000.0,0.0,68.0,6.010078,46.282665
90110,251538.0,2912.0,122.0,6.004917,46.269717
90140,724100.0,807.0,156.0,6.016523,46.290532
90141,352375.0,94.0,89.0,6.005491,46.270446
90175,482990.0,1500.0,144.0,6.002522,46.270918
90198,505800.0,967.0,129.0,6.001261,46.270586
90204,552380.94,1003.0,150.0,6.007793,46.272822
90216,957000.0,1469.0,215.0,6.009665,46.280677000000004
90247,345000.0,375.0,220.0,6.0125910000000005,46.280668
90303,790000.0,1416.0,205.0,6.012375,46.28109
90324,500000.0,331.0,0.0,6.032856,46.309919
90343,15000.0,62.0,0.0,6.032856,46.309919
90452,157750.0,35.0,0.0,6.0496099999999995,46.311199
90612,1520532.0,0.0,0.0,6.032562,46.306705
90613,378000.0,0.0,0.0,6.032562,46.306705
90614,187600.0,459.0,0.0,6.032562,46.306705
90615,650390.0,71.0,0.0,6.032562,46.306705
90616,247660.0,76.0,0.0,6.032562,46.306705
90617,402500.0,1393.0,0.0,6.0323709999999995,46.307433
90645,795000.0,1846.0,0.0,6.0323709999999995,46.307433
90704,635000.0,2276.0,150.0,6.035858999999999,46.310062
90717,243250.0,0.0,56.0,6.036842,46.309782
90729,361000.0,0.0,110.0,6.036842,46.309782
90741,275000.0,0.0,85.0,6.036842,46.309782
90753,360500.0,134.0,82.0,6.036842,46.309782
90765,275000.0,191.0,96.0,6.036842,46.309782
90777,315000.0,0.0,82.0,6.036842,46.309782
90789,290000.0,0.0,81.0,6.036842,46.309782
90801,305000.0,172.0,96.0,6.036842,46.309782
90813,320000.0,0.0,82.0,6.036842,46.309782
90825,275000.0,200.0,96.0,6.036842,46.309782
90837,295000.0,0.0,81.0,6.036842,46.309782
90849,300000.0,0.0,0.0,6.036842,46.309782
90861,330000.0,168.0,82.0,6.036842,46.309782
90869,515000.0,1429.0,147.0,6.03029,46.311578000000004
90899,898700.0,1297.0,200.0,6.035966,46.319958
90905,750000.0,1719.0,138.0,6.035401,46.316056
90929,800000.0,2200.0,150.0,6.060728,46.303374
90472,157750.0,177.0,76.0,6.050358,46.313676
90550,880000.0,468.0,89.0,6.046225,46.309296
90610,280000.0,801.0,0.0,6.0344169999999995,46.29762
90953,510000.0,297.0,97.0,6.0332,46.306293
91001,571250.0,308.0,135.0,6.0332,46.306293
91049,559600.0,337.0,135.0,6.0332,46.306293
91097,270000.0,318.0,135.0,6.0332,46.306293
91145,590000.0,328.0,135.0,6.0332,46.306293
91193,250000.0,0.0,53.0,6.0332,46.306293
91241,463000.0,332.0,97.0,6.0332,46.306293
91294,734850.0,863.0,130.0,6.031212,46.306805
91343,725000.0,903.0,205.0,6.030793,46.306761
91428,247660.0,126.0,54.0,6.026644,46.303857
91431,515000.0,335.0,110.0,6.03453,46.309435
91461,365470.0,201.0,94.0,6.034109,46.309034000000004
91493,460000.0,290.0,110.0,6.033816000000001,46.308859000000005
91518,490000.0,278.0,110.0,6.033696,46.308904
91528,850430.0,799.0,298.0,6.038285,46.309358
90368,190000.0,0.0,58.0,6.0324029999999995,46.310449
90387,275520.0,0.0,58.0,6.0324029999999995,46.310449
91567,455000.0,408.0,91.0,6.049992,46.309382
91647,723200.0,0.0,93.0,6.051428,46.309646
91733,565000.0,1250.0,110.0,6.05163,46.310413
90695,795000.0,1550.0,230.0,6.028516000000001,46.307866
91761,723000.0,1880.0,187.0,6.032255,46.308169
91777,278000.0,0.0,61.0,6.033593,46.309494
91800,262500.0,0.0,61.0,6.033593,46.309494
